x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,3,4,4,4,4,4,5,5,5,5,5,5,6,5,6,6,6,7,7,7,8,10,11,10,10,12,12,11,12,13,13,15,16,17,18,19,20
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,2,3,3,4,4,4,3,4,5,4,4,4,4,5,4,4,4,4,5,5,5,6,7,7,5,5,3,7,5,5,7,7,6,7,5,4,3,2,1,0
1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,1,3,3,2,3,2,3,3,3,2,2,3,2,3,3,2,4,5,4,3,4,4,3,3,2,2,1,2,1,1,2,2,2,1,0,0,0,0,0,0,0
1,1,1,1,2,2,2,2,2,3,2,2,3,4,4,3,3,2,2,3,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,2,2,2,3,3,2,3,4,3,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,2,2,4,2,2,3,3,2,3,4,3,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,4,2,2,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
